"","Beneficial","Harmful","Total","PPIa"
"AXOS",1773,21,1794,0.976588628762542
"Acerola full spectrum",1115.66666666667,267.666666666667,1383.33333333333,0.613012048192771
"Acerola green + OBG 28%",642.333333333333,335,977.333333333333,0.314461118690314
"Acerola red 20% vit C& acerola green vit C 34%",1400,81,1481,0.890614449696151
"Agrifiber",1423.33333333333,19,1442.33333333333,0.973653801710192
"Aronox PE 40% polyphenols",44.6666666666667,2319.33333333333,2364,-0.962210941906373
"Ascorbic acid (Vit c)",817.333333333333,2073.66666666667,2891,-0.434567047157846
"Carrot juice + Green Acerola",1420,43.6666666666667,1463.66666666667,0.940332498291961
"Carrot juice pro vit A",1177.66666666667,87.3333333333333,1265,0.861923583662714
"FBB0",1047,1560,2607,-0.196777905638665
"FBB16",1864,46,1910,0.951832460732984
"Gingest",218.333333333333,2169.66666666667,2388,-0.81714126186488
"Green Acerola 34% Vit C",1001.33333333333,69,1070.33333333333,0.871068203052009
"Inulin",2028.66666666667,37.3333333333333,2066,0.963859309454663
"OBG 28% (OatWell Bran)",418,110.666666666667,528.666666666667,0.581336696090794
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",852,16.3333333333333,868.333333333333,0.962380038387716
"Red Acerola 20% Vit C",2872.66666666667,42.3333333333333,2915,0.97095483133219
"Resistant starch postbiotic candidate 1",1413,78.3333333333333,1491.33333333333,0.894948591864104
"Resistant starch postbiotic candidate 2",1077.33333333333,285,1362.33333333333,0.581600195742598
"Super B-glucan (SBG)",1014.66666666667,35.3333333333333,1050,0.932698412698413
"Svetol",903,83,986,0.831643002028398
"Yeast B-glucans (YBG-Wellmune)",1237.66666666667,26.3333333333333,1264,0.958333333333333
"lantamanen OBG-29% GF",486.333333333333,122.333333333333,608.666666666667,0.59802847754655
