"","Beneficial","Harmful","Total","PPIa"
"Acerola full spectrum",843,1482.33333333333,2325.33333333333,-0.274942660550459
"Acerola green + OBG 28%",1220,402.666666666667,1622.66666666667,0.503697617091208
"Acerola red 20% vit C& acerola green vit C 34%",1031,285,1316,0.566869300911854
"Agrifiber",2283.66666666667,69.6666666666667,2353.33333333333,0.940793201133145
"Aronox PE 40% polyphenols",271,4219,4490,-0.879287305122494
"Ascorbic acid (Vit c)",1407.66666666667,784.333333333333,2192,0.284367396593674
"Carrot juice + Green Acerola",1106,268.666666666667,1374.66666666667,0.609117361784675
"Carrot juice pro vit A",1523,335,1858,0.639397201291712
"FBB0",1420,1272,2692,0.0549777117384844
"FBB16",2432,210,2642,0.841029523088569
"Gingest",1034.33333333333,1065.33333333333,2099.66666666667,-0.0147642482933799
"Green Acerola 34% Vit C",1092.66666666667,254.666666666667,1347.33333333333,0.621969322117763
"Inulin",2441,111.333333333333,2552.33333333333,0.912759566409821
"OBG 28% (OatWell Bran)",1767.66666666667,352,2119.66666666667,0.667872306966504
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",2231.66666666667,103.666666666667,2335.33333333333,0.911218955181273
"Red Acerola 20% Vit C",1404.33333333333,261,1665.33333333333,0.686549239391513
"Resistant starch postbiotic candidate 1",2246.66666666667,326.666666666667,2573.33333333333,0.746113989637306
"Resistant starch postbiotic candidate 2",1884.33333333333,602.666666666667,2487,0.515346468301836
"Super B-glucan (SBG)",1436.33333333333,62.3333333333333,1498.66666666667,0.916814946619217
"Svetol",1403,528,1931,0.453133091662351
"Yeast B-glucans (YBG-Wellmune)",1333.66666666667,122,1455.66666666667,0.832379207694069
"lantamanen OBG-29% GF",1728.66666666667,566.333333333333,2295,0.506463326071169
