"","Beneficial","Harmful","Total","PPIa"
"AXOS",1407,359,1766,0.593431483578709
"Acerola full spectrum",391.333333333333,1480.33333333333,1871.66666666667,-0.581834372217275
"Acerola green + OBG 28%",124.666666666667,534,658.666666666667,-0.621457489878543
"Acerola red 20% vit C& acerola green vit C 34%",737.333333333333,234,971.333333333333,0.518188057652711
"Agrifiber",181.333333333333,231.333333333333,412.666666666667,-0.121163166397415
"Aronox PE 40% polyphenols",554.333333333333,3555.66666666667,4110,-0.730251419302514
"Ascorbic acid (Vit c)",609.333333333333,1466.66666666667,2076,-0.412973667308927
"Carrot juice + Green Acerola",926.333333333333,258.333333333333,1184.66666666667,0.563871693866066
"Carrot juice pro vit A",452,479.666666666667,931.666666666667,-0.029695885509839
"FBB0",713,740,1453,-0.018582243633861
"FBB16",2314,303,2617,0.76843714176538
"Gingest",332,2281,2613,-0.745885954841179
"Green Acerola 34% Vit C",635,242,877,0.44811858608894
"Inulin",926,102,1028,0.801556420233463
"OBG 28% (OatWell Bran)",177.333333333333,322,499.333333333333,-0.289719626168224
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",490,437,927,0.0571736785329018
"Red Acerola 20% Vit C",849,295,1144,0.484265734265734
"Resistant starch postbiotic candidate 1",371.666666666667,419,790.666666666667,-0.0598650927487352
"Resistant starch postbiotic candidate 2",791,417.333333333333,1208.33333333333,0.309241379310345
"Super B-glucan (SBG)",1255.33333333333,325.666666666667,1581,0.588024457094666
"Svetol",1091.33333333333,864,1955.33333333333,0.116263211728605
"Yeast B-glucans (YBG-Wellmune)",441,295,736,0.198369565217391
"lantamanen OBG-29% GF",147.666666666667,188.666666666667,336.333333333333,-0.121902874132805
