"","Beneficial","Harmful","Total","PPIa"
"AXOS",1934,382,2316,0.670120898100173
"Acerola full spectrum",1513,1974.66666666667,3487.66666666667,-0.132371212845264
"Acerola green + OBG 28%",2229.33333333333,1475.33333333333,3704.66666666667,0.203527082958431
"Acerola red 20% vit C& acerola green vit C 34%",2210.66666666667,399,2609.66666666667,0.694213820411291
"Agrifiber",2731.66666666667,195.666666666667,2927.33333333333,0.866317467547256
"Aronox PE 40% polyphenols",352.666666666667,2802.33333333333,3155,-0.776439513998944
"Ascorbic acid (Vit c)",2636.33333333333,372.333333333333,3008.66666666667,0.752492798581874
"Carrot juice + Green Acerola",2000.66666666667,411.333333333333,2412,0.658927584300719
"Carrot juice pro vit A",2168,941.666666666667,3109.66666666667,0.394361667917247
"FBB0",1979,1683,3662,0.0808301474604042
"FBB16",3223,475,3698,0.743104380746349
"Gingest",1012.66666666667,923,1935.66666666667,0.0463234027897365
"Green Acerola 34% Vit C",2649,319,2968,0.785040431266846
"Inulin",4073.66666666667,178,4251.66666666667,0.916268130145041
"OBG 28% (OatWell Bran)",1049.33333333333,657,1706.33333333333,0.229927720257863
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",3276.33333333333,395.666666666667,3672,0.784495279593319
"Red Acerola 20% Vit C",2117.66666666667,369.333333333333,2487,0.70298887548586
"Resistant starch postbiotic candidate 1",1695,510,2205,0.537414965986395
"Resistant starch postbiotic candidate 2",2439.33333333333,704,3143.33333333333,0.552067868504772
"Super B-glucan (SBG)",1912.66666666667,211.333333333333,2124,0.801004394224733
"Svetol",1733.33333333333,394,2127.33333333333,0.629583202757756
"Yeast B-glucans (YBG-Wellmune)",1412,219.333333333333,1631.33333333333,0.731099305271761
"lantamanen OBG-29% GF",1233.66666666667,785,2018.66666666667,0.22225891677675
