"","Beneficial","Harmful","Total","PPIa"
"AXOS",823,372,1195,0.377405857740586
"Acerola full spectrum",118.666666666667,473.333333333333,592,-0.599099099099099
"Acerola green + OBG 28%",186.666666666667,680.666666666667,867.333333333333,-0.5695618754804
"Acerola red 20% vit C& acerola green vit C 34%",169.333333333333,57.6666666666667,227,0.491923641703377
"Agrifiber",117.333333333333,465,582.333333333333,-0.597023468803663
"Aronox PE 40% polyphenols",99,2658.66666666667,2757.66666666667,-0.92820016922519
"Ascorbic acid (Vit c)",190.666666666667,494.333333333333,685,-0.44330900243309
"Carrot juice + Green Acerola",137,73.6666666666667,210.666666666667,0.300632911392405
"Carrot juice pro vit A",122.666666666667,100.666666666667,223.333333333333,0.0985074626865672
"FBB0",176,706,882,-0.600907029478458
"FBB16",932,298,1230,0.515447154471545
"Gingest",190,2786,2976,-0.872311827956989
"Green Acerola 34% Vit C",168.333333333333,45,213.333333333333,0.578125
"Inulin",275.333333333333,436.666666666667,712,-0.226591760299626
"OBG 28% (OatWell Bran)",59.3333333333333,651.333333333333,710.666666666667,-0.833020637898687
"Oat B-glucans (OBG 70% (Low m.wt))- Garuda",157,464.666666666667,621.666666666667,-0.494906166219839
"Red Acerola 20% Vit C",189.666666666667,87,276.666666666667,0.371084337349398
"Resistant starch postbiotic candidate 1",182.666666666667,354.333333333333,537,-0.31967721911856
"Resistant starch postbiotic candidate 2",153.333333333333,256,409.333333333333,-0.250814332247557
"Super B-glucan (SBG)",940,459.333333333333,1399.33333333333,0.34349690328728
"Svetol",754,1579.66666666667,2333.66666666667,-0.353806599057278
"Yeast B-glucans (YBG-Wellmune)",188.666666666667,610.666666666667,799.333333333333,-0.527939949958299
"lantamanen OBG-29% GF",39.6666666666667,649,688.666666666667,-0.884801548886738
